order_date,sales
2011-01-02,291.0
2011-01-03,2204.0
2011-01-04,120.0
2011-01-06,5189.0
2011-01-07,601.0
2011-01-08,229.0
2011-01-09,470.0
2011-01-10,5.0
2011-01-11,4733.0
2011-01-12,5625.0
2011-01-14,3554.0
2011-01-15,62.0
2011-01-16,150.0
2011-01-17,300.0
2011-01-19,65.0
2011-01-20,378.0
2011-01-21,2675.0
2011-01-22,25.0
2011-01-24,46.0
2011-01-27,1097.0
2011-01-28,426.0
2011-01-29,4.0
2011-01-31,241.0
2011-02-02,469.0
2011-02-03,201.0
2011-02-04,1459.0
2011-02-05,506.0
2011-02-06,739.0
2011-02-07,80.0
2011-02-08,886.0
2011-02-09,3255.0
2011-02-10,597.0
2011-02-11,2126.0
2011-02-12,1772.0
2011-02-13,130.0
2011-02-15,577.0
2011-02-16,21.0
2011-02-17,9.0
2011-02-18,54.0
2011-02-19,38.0
2011-02-21,95.0
2011-02-22,9.0
2011-02-23,19.0
2011-02-24,11.0
2011-02-25,56.0
2011-02-28,19.0
2011-03-02,211.0
2011-03-03,1345.0
2011-03-04,233.0
2011-03-05,73.0
2011-03-06,742.0
2011-03-08,478.0
2011-03-09,22.0
2011-03-10,861.0
2011-03-11,2784.0
2011-03-12,506.0
2011-03-14,2108.0
2011-03-15,371.0
2011-03-16,472.0
2011-03-17,3961.0
2011-03-18,28105.0
2011-03-19,591.0
2011-03-21,4108.0
2011-03-22,463.0
2011-03-23,945.0
2011-03-24,65.0
2011-03-25,459.0
2011-03-26,145.0
2011-03-28,1824.0
2011-03-29,891.0
2011-03-30,1171.0
2011-03-31,1960.0
2011-04-01,16.0
2011-04-02,97.0
2011-04-03,371.0
2011-04-04,475.0
2011-04-05,187.0
2011-04-06,457.0
2011-04-07,248.0
2011-04-08,2743.0
2011-04-10,728.0
2011-04-11,6693.0
2011-04-12,130.0
2011-04-13,639.0
2011-04-15,295.0
2011-04-16,39.0
2011-04-18,1021.0
2011-04-19,205.0
2011-04-20,1251.0
2011-04-21,846.0
2011-04-22,258.0
2011-04-23,643.0
2011-04-25,2379.0
2011-04-26,282.0
2011-04-28,2579.0
2011-04-29,769.0
2011-04-30,1049.0
2011-05-01,289.0
2011-05-02,134.0
2011-05-03,707.0
2011-05-04,5295.0
2011-05-05,261.0
2011-05-07,1444.0
2011-05-08,2408.0
2011-05-09,296.0
2011-05-10,192.0
2011-05-11,1695.0
2011-05-12,2963.0
2011-05-13,898.0
2011-05-14,311.0
2011-05-16,289.0
2011-05-17,92.0
2011-05-18,949.0
2011-05-19,91.0
2011-05-20,320.0
2011-05-21,4265.0
2011-05-22,181.0
2011-05-23,323.0
2011-05-24,116.0
2011-05-25,120.0
2011-05-26,1326.0
2011-05-27,2157.0
2011-05-28,222.0
2011-05-30,1925.0
2011-05-31,774.0
2011-06-01,20.0
2011-06-04,1651.0
2011-06-05,255.0
2011-06-06,1374.0
2011-06-07,1038.0
2011-06-08,263.0
2011-06-09,100.0
2011-06-10,494.0
2011-06-11,44.0
2011-06-12,1970.0
2011-06-13,15.0
2011-06-14,213.0
2011-06-15,944.0
